2026-04-06 14:56:43 | INFO    | dupla.merged_pdf_vision      | PDF: C:\Users\Enrique Casanova\Dupla\Batch_Publish_20260406 (Conflicted Copy).pdf
2026-04-06 14:56:43 | INFO    | dupla.merged_pdf_vision      | CAD fusionado: C:\Users\Enrique Casanova\Dupla\output\multi_dwg_project\giualca_i_edificio_tejas\2026-04-06_144031\project_merged.normalized.json
2026-04-06 14:56:43 | INFO    | dupla.merged_pdf_vision      | Salida: C:\Users\Enrique Casanova\Dupla\output\multi_dwg_project\giualca_i_edificio_tejas\pdf_vision_2026-04-06_145643
2026-04-06 14:56:59 | INFO    | dupla.merged_pdf_vision      | Renderizadas 16 páginas → C:\Users\Enrique Casanova\Dupla\output\multi_dwg_project\giualca_i_edificio_tejas\pdf_vision_2026-04-06_145643\rendered_pages\p_21498189199d707e
2026-04-06 14:58:36 | INFO    | dupla.runner                 | Vision analysis: 16 pages OK, 0 errors
2026-04-06 14:58:37 | INFO    | dupla.runner                 | BC3 catalog loaded: 684 items from TGIU.bc3
2026-04-06 14:58:37 | INFO    | dupla.runner                 | Training pairs loaded: 1565 from PRES.xlsx
2026-04-06 14:58:37 | INFO    | dupla.runner                 | Embeddings ready: 684 items, model=text-embedding-3-small
2026-04-06 14:58:37 | INFO    | dupla.pipeline               | build_budget_from_sources: starting hybrid inventory + takeoffs
2026-04-06 14:58:38 | INFO    | dupla.pipeline               | Hybrid inventory built: 16 levels (0 vision errors skipped)
2026-04-06 14:58:38 | INFO    | dupla.pipeline               | Takeoffs: 419 base -> 54 expanded (rules applied)
2026-04-06 14:58:38 | INFO    | dupla.pipeline               | After PRES merge: 54 takeoffs
2026-04-06 14:58:38 | INFO    | dupla.pipeline               | Matching 54 takeoffs to BC3 catalog
2026-04-06 14:59:35 | INFO    | dupla.pipeline               | BC3 candidates matched for 54 takeoff keys
2026-04-06 14:59:35 | INFO    | dupla.composer               | Budget diagnostics: 54 total takeoffs, 27 budgetable, 27 excluded
2026-04-06 14:59:35 | DEBUG   | dupla.composer               | Exclusion reasons: {'derived_child': 7, 'type_excluded': 15, 'unmapped_item_type': 3, 'structural_subtype_excluded': 2}
2026-04-06 14:59:35 | INFO    | dupla.composer               | Budget composed: 13 chapters, 27 lines, 53 rows
2026-04-06 14:59:35 | INFO    | dupla.pipeline               | Budget built: 13 chapters, 27 lines, 53 rows
2026-04-06 14:59:35 | INFO    | dupla.runner                 | Excel export done: C:\Users\Enrique Casanova\Dupla\output\multi_dwg_project\giualca_i_edificio_tejas\pdf_vision_2026-04-06_145643\dupla_presupuesto_cad_pdf_vision.xlsx + reviewer: C:\Users\Enrique Casanova\Dupla\output\multi_dwg_project\giualca_i_edificio_tejas\pdf_vision_2026-04-06_145643\dupla_budget_for_review.xlsx
2026-04-06 14:59:35 | INFO    | dupla.merged_pdf_vision      | Listo: C:\Users\Enrique Casanova\Dupla\output\multi_dwg_project\giualca_i_edificio_tejas\pdf_vision_2026-04-06_145643\dupla_presupuesto_cad_pdf_vision.xlsx
